OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime.Time,ActivityStartTime.TimeZoneCode,ActivityEndDate,ActivityEndTime.Time,ActivityEndTime.TimeZoneCode,ActivityDepthHeightMeasure.MeasureValue,ActivityDepthHeightMeasure.MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure.MeasureValue,ActivityTopDepthHeightMeasure.MeasureUnitCode,ActivityBottomDepthHeightMeasure.MeasureValue,ActivityBottomDepthHeightMeasure.MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,SampleCollectionMethod.MethodIdentifier,SampleCollectionMethod.MethodIdentifierContext,SampleCollectionMethod.MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasureValue.Original,TADA.ResultMeasureValue.Flag,ResultMeasure.MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure.MeasureValue,ResultDepthHeightMeasure.MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,ResultAnalyticalMethod.MethodIdentifier,ResultAnalyticalMethod.MethodIdentifierContext,ResultAnalyticalMethod.MethodName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure.MeasureValue,DetectionLimitMeasureValue.Original,TADA.DetectionLimitMeasureValue.Flag,DetectionQuantitationLimitMeasure.MeasureUnitCode,PreparationStartDate,ProviderName,ActivityStartDateTime,ActivityEndDateTime,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure.MeasureValue,DrainageAreaMeasure.MeasureUnitCode,ContributingDrainageAreaMeasure.MeasureValue,ContributingDrainageAreaMeasure.MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure.MeasureValue,HorizontalAccuracyMeasure.MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure.MeasureValue,VerticalMeasure.MeasureUnitCode,VerticalAccuracyMeasure.MeasureValue,VerticalAccuracyMeasure.MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure.MeasureValue,WellDepthMeasure.MeasureUnitCode,WellHoleDepthMeasure.MeasureValue,WellHoleDepthMeasure.MeasureUnitCode,MethodSpecificationName,ProjectName,ProjectDescriptionText,SamplingDesignTypeCode,QAPPApprovedIndicator,QAPPApprovalAgencyName,ProjectFileUrl,ProjectMonitoringLocationWeightingUrl
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-MAINCK210225-4996910-0225-4-C,Sample-Routine,WATER,NA,2/25/2021,10:10:00,MST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,305,Division of Water Quality,UTAHDWQ_WQX-4996910,NA,NA,NA,NA,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,Miscellaneous (Other),NA,NITROGEN,DISSOLVED,0.124,0.124,Numeric,MG/L,J,Accepted,NA,Actual,NA,NA,NA,NA,NA,Estimated: The analyte was positively identified and the associated numerical value is the approximate concentration of the analyte in the sample.,NA,NA,NA,NA,NA,NA,D8083-16,ASTM,"Standard Test Method for Total Nitrogen, and Total Kjeldahl Nitrogen (TKN) by Calculation, in Water by High Temperature",NA,Utah DOH Division of Epidemilogy and Laboratory Services,3/9/2021,NA,Lower Reporting Limit,0.2,0.2,Numeric,MG/L,NA,STORET,2/25/2021 17:10,NA,LITTLE HOBBLE CK AT ROUND VALLEY RD XING,River/Stream,NA,16020203,NA,NA,NA,NA,40.37551,-111.42463,NA,NA,NA,GPS-Unspecified,NAD83,NA,NA,NA,NA,NA,NA,US,49,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,AS N,Non-Point Source (NPS) Monitoring,"This will include monitoring events for the purposes of determining NPS project effectiveness, including baseline conditions for projects, anything that would be funded by NPS grants; we'd like to track this separately.",NA,N,NA,NA,NA
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-BRI210308-4908745-0308-4-C,Sample-Routine,WATER,NA,3/8/2021,14:20:00,MST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,302,Division of Water Quality,UTAHDWQ_WQX-4908745,NA,NA,NA,NA,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,Miscellaneous (Other),NA,NITROGEN,DISSOLVED,0.834,0.834,Numeric,MG/L,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D8083-16,ASTM,"Standard Test Method for Total Nitrogen, and Total Kjeldahl Nitrogen (TKN) by Calculation, in Water by High Temperature",NA,Utah DOH Division of Epidemilogy and Laboratory Services,3/23/2021,NA,Lower Reporting Limit,0.2,0.2,Numeric,MG/L,NA,STORET,3/8/2021 21:20,NA,Malad River @ 2400 N Xing in Plymouth (UT09ST-145),River/Stream,NA,16010204,NA,NA,NA,NA,41.94205,-112.19727,NA,NA,NA,GPS-Unspecified,NAD83,NA,NA,NA,NA,NA,NA,US,49,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,AS N,Targeted,"This will cover many monitoring events including any routine monitoring with the purpose of identifying stressors or causes of impairment such as the basin intensives, TMDL studies.","Targeted - A targeted sample is where a ""sample"" of the subject matter, be that people, plants/animals etc is selected using certain criteria, i.e. pregnant mothers between the ages of 25-30. Targeted samples are usually used by businesses or companies carrying out surveys on a particular group of people.",NA,NA,NA,NA
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-CUWJP210324-4996890-0324-4-C,Quality Control Sample-Field Replicate,WATER,NA,3/24/2021,14:29:00,MST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,306,CUWCD,UTAHDWQ_WQX-4996890,NA,NA,NA,NA,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,Miscellaneous (Other),Not Detected,NITROGEN,DISSOLVED,NA,NA,ND or NA,MG/L,U,Accepted,NA,Calculated,NA,NA,NA,NA,NA,Not detected/reported,NA,NA,NA,NA,NA,NA,4500-NORG D,APHA,4500 NORG D ~ Block Digestion and Flow Injection Analysis,NA,Chem-Tech Ford,4/5/2021,NA,Lower Reporting Limit,1,1,Numeric,MG/L,NA,STORET,3/24/2021 21:29,NA,PROVO RIVER BL DEER CREEK RES CUWCD Replicate of 5913210,River/Stream,Replicate of 5913210,16020203,NA,NA,NA,NA,40.40303,-111.52966,NA,NA,NA,GPS-Unspecified,NAD83,NA,NA,NA,NA,NA,NA,US,49,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,AS N,Cooperative Monitoring,"This will include sampling performed routinely by our federal, state, and local governmental cooperating agencies.",NA,N,NA,NA,NA
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-JRBBH210322-4994270-0322-4-C,Sample-Routine,WATER,NA,3/22/2021,9:40:00,MST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,302,Division of Water Quality,UTAHDWQ_WQX-4994270,NA,NA,NA,NA,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,Miscellaneous (Other),NA,NITROGEN,TOTAL,3.84,3.84,Numeric,MG/L,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D8083-16,ASTM,"Standard Test Method for Total Nitrogen, and Total Kjeldahl Nitrogen (TKN) by Calculation, in Water by High Temperature",NA,Utah DOH Division of Epidemilogy and Laboratory Services,4/13/2021,NA,Lower Reporting Limit,0.2,0.2,Numeric,MG/L,NA,STORET,3/22/2021 16:40,NA,JORDAN R AT 9000 S XING,River/Stream,NA,16020204,NA,NA,NA,NA,40.58744,-111.91271,NA,NA,NA,GPS-Unspecified,NAD83,NA,NA,NA,NA,NA,NA,US,49,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,AS N,Targeted,"This will cover many monitoring events including any routine monitoring with the purpose of identifying stressors or causes of impairment such as the basin intensives, TMDL studies.","Targeted - A targeted sample is where a ""sample"" of the subject matter, be that people, plants/animals etc is selected using certain criteria, i.e. pregnant mothers between the ages of 25-30. Targeted samples are usually used by businesses or companies carrying out surveys on a particular group of people.",NA,NA,NA,NA
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-UTLK210119-4996680-0119-4-C,Sample-Routine,WATER,NA,1/19/2021,13:20:00,MST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,302,Division of Water Quality,UTAHDWQ_WQX-4996680,NA,NA,NA,NA,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,Miscellaneous (Other),NA,NITROGEN,DISSOLVED,0.672,0.672,Numeric,MG/L,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D8083-16,ASTM,"Standard Test Method for Total Nitrogen, and Total Kjeldahl Nitrogen (TKN) by Calculation, in Water by High Temperature",NA,Utah DOH Division of Epidemilogy and Laboratory Services,2/4/2021,NA,Lower Reporting Limit,0.2,0.2,Numeric,MG/L,NA,STORET,1/19/2021 20:20,NA,PROVO R. AT CENTER ST XING EAST OF UTAH LAKE BOAT HARBOR,River/Stream,NA,16020201,NA,NA,NA,NA,40.2369,-111.7316,NA,NA,NA,GPS-Unspecified,NAD83,NA,NA,NA,NA,NA,NA,US,49,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,AS N,Targeted,"This will cover many monitoring events including any routine monitoring with the purpose of identifying stressors or causes of impairment such as the basin intensives, TMDL studies.","Targeted - A targeted sample is where a ""sample"" of the subject matter, be that people, plants/animals etc is selected using certain criteria, i.e. pregnant mothers between the ages of 25-30. Targeted samples are usually used by businesses or companies carrying out surveys on a particular group of people.",NA,NA,NA,NA
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-BLMMOAB210308-4955810-0308-4-C,Sample-Routine,WATER,NA,3/8/2021,15:00:00,MST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,306,Bureau of Land Management,UTAHDWQ_WQX-4955810,NA,NA,NA,NA,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,Miscellaneous (Other),NA,NITROGEN,TOTAL,0.146,0.146,Numeric,MG/L,J,Accepted,NA,Actual,NA,NA,NA,NA,NA,Estimated: The analyte was positively identified and the associated numerical value is the approximate concentration of the analyte in the sample.,NA,NA,NA,NA,NA,NA,D8083-16,ASTM,"Standard Test Method for Total Nitrogen, and Total Kjeldahl Nitrogen (TKN) by Calculation, in Water by High Temperature",NA,Utah DOH Division of Epidemilogy and Laboratory Services,3/19/2021,NA,Lower Reporting Limit,0.2,0.2,Numeric,MG/L,NA,STORET,3/8/2021 22:00,NA,N COTTONWOOD CK AT BEEF BASIN ROAD XING,River/Stream,NA,14030005,NA,NA,NA,NA,38.02832,-109.58985,NA,NA,NA,GPS-Unspecified,NAD83,NA,NA,NA,NA,NA,NA,US,49,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,AS N,Cooperative Monitoring,"This will include sampling performed routinely by our federal, state, and local governmental cooperating agencies.",NA,N,NA,NA,NA
WFWQC_UT,Wasatch Front Water Quality Council Utah (Volunteer),WFWQC_UT-WFWQC0221-4996022-0217-LAB,Sample-Routine,WATER,NA,2/17/2021,14:28:00,MST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WFWQC,NA,WFWQC_UT-4996022,NA,NA,NA,NA,WFWQC-01,WFWQC_UT,Water Grab Sample,Water Sampler (Other),NA,NITRATE,TOTAL,2.98,2.98,Numeric,MG/L,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10206,HACH,"Nitrate, Dimethylphenol Method",NA,Timpanogos Special Service District,NA,NA,Minimum Reporting Level,0.23,0.23,Numeric,MG/L,NA,STORET,2/17/2021 21:28,NA,Dry Creek AB Spanish Fork Discharge Confl,River/Stream,NA,16020202,NA,NA,NA,NA,40.145005,-111.650284,NA,NA,NA,GPS-Unspecified,NAD83,NA,NA,NA,NA,NA,NA,US,49,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,AS N,Wasatch Front Water Quality Council,Wasatch Front Water Quality Council sampling project,NA,NA,NA,NA,NA
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-BRI210208-4905400-0209-4-C,Sample-Routine,WATER,NA,2/9/2021,11:20:00,MST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,302,Division of Water Quality,UTAHDWQ_WQX-4905400,NA,NA,NA,NA,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,Miscellaneous (Other),NA,NITROGEN,DISSOLVED,0.488,0.488,Numeric,MG/L,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D8083-16,ASTM,"Standard Test Method for Total Nitrogen, and Total Kjeldahl Nitrogen (TKN) by Calculation, in Water by High Temperature",NA,Utah DOH Division of Epidemilogy and Laboratory Services,2/17/2021,NA,Lower Reporting Limit,0.2,0.2,Numeric,MG/L,NA,STORET,2/9/2021 18:20,NA,BLACKSMITH FK R AB CNFL / LOGAN R AT US89 XING,River/Stream,NA,16010203,NA,NA,NA,NA,41.70438,-111.85189,NA,NA,NA,GPS-Unspecified,NAD83,NA,NA,NA,NA,NA,NA,US,49,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,AS N,Targeted,"This will cover many monitoring events including any routine monitoring with the purpose of identifying stressors or causes of impairment such as the basin intensives, TMDL studies.","Targeted - A targeted sample is where a ""sample"" of the subject matter, be that people, plants/animals etc is selected using certain criteria, i.e. pregnant mothers between the ages of 25-30. Targeted samples are usually used by businesses or companies carrying out surveys on a particular group of people.",NA,NA,NA,NA
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-JRBBH210322-4990006-0322-4-C,Quality Control Sample-Field Blank,WATER,NA,3/22/2021,10:35:00,MST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,302,Division of Water Quality,UTAHDWQ_WQX-4990006,NA,NA,NA,NA,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,Miscellaneous (Other),Not Detected,NITROGEN,TOTAL,NA,NA,ND or NA,MG/L,U,Accepted,NA,Actual,NA,NA,NA,NA,NA,Not detected/reported,NA,NA,NA,NA,NA,NA,D8083-16,ASTM,"Standard Test Method for Total Nitrogen, and Total Kjeldahl Nitrogen (TKN) by Calculation, in Water by High Temperature",NA,Utah DOH Division of Epidemilogy and Laboratory Services,4/8/2021,NA,Lower Reporting Limit,0.2,0.2,Numeric,MG/L,NA,STORET,3/22/2021 17:35,NA,EQUIPMENT BLANK-Jordan River Big Bend project,River/Stream,Equipment Blank,16020204,NA,NA,NA,NA,40.77413,-111.94789,NA,NA,NA,GPS-Unspecified,NAD83,NA,NA,NA,NA,NA,NA,US,49,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,AS N,Targeted,"This will cover many monitoring events including any routine monitoring with the purpose of identifying stressors or causes of impairment such as the basin intensives, TMDL studies.","Targeted - A targeted sample is where a ""sample"" of the subject matter, be that people, plants/animals etc is selected using certain criteria, i.e. pregnant mothers between the ages of 25-30. Targeted samples are usually used by businesses or companies carrying out surveys on a particular group of people.",NA,NA,NA,NA
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-BORLP210323-5952700-0327-2-C,Sample-Integrated Vertical Profile,WATER,NA,3/27/2021,8:45:00,MST,NA,NA,NA,NA,NA,NA,0,m,2,m,306,Bureau of Reclamation,UTAHDWQ_WQX-5952700,NA,NA,NA,NA,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,Miscellaneous (Other),NA,NITROGEN,TOTAL,0.339,0.339,Numeric,MG/L,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D8083-16,ASTM,"Standard Test Method for Total Nitrogen, and Total Kjeldahl Nitrogen (TKN) by Calculation, in Water by High Temperature",NA,Utah DOH Division of Epidemilogy and Laboratory Services,4/13/2021,NA,Lower Reporting Limit,0.2,0.2,Numeric,MG/L,NA,STORET,3/27/2021 15:45,NA,LAKE POWELL OFF DAVIS GULCH,Lake,NA,14070005,NA,NA,NA,NA,37.32138,-110.91876,NA,NA,NA,GPS-Unspecified,NAD83,NA,NA,NA,NA,NA,NA,US,49,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,AS N,Cooperative Monitoring,"This will include sampling performed routinely by our federal, state, and local governmental cooperating agencies.",NA,N,NA,NA,NA
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-BRI210308-4903501-0309-4-C,Quality Control Sample-Field Replicate,WATER,NA,3/9/2021,12:35:00,MST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,302,Division of Water Quality,UTAHDWQ_WQX-4903501,NA,NA,NA,NA,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,Miscellaneous (Other),NA,NITROGEN,DISSOLVED,2.03,2.03,Numeric,MG/L,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D8083-16,ASTM,"Standard Test Method for Total Nitrogen, and Total Kjeldahl Nitrogen (TKN) by Calculation, in Water by High Temperature",NA,Utah DOH Division of Epidemilogy and Laboratory Services,3/23/2021,NA,Lower Reporting Limit,0.2,0.2,Numeric,MG/L,NA,STORET,3/9/2021 19:35,NA,SUMMIT CK AB CNFL / BEAR R Replicate of 4903500,River/Stream,Replicate of 4903500,16010202,NA,NA,NA,NA,41.83326,-111.88439,NA,NA,NA,GPS-Unspecified,NAD83,NA,NA,NA,NA,NA,NA,US,49,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,AS N,Targeted,"This will cover many monitoring events including any routine monitoring with the purpose of identifying stressors or causes of impairment such as the basin intensives, TMDL studies.","Targeted - A targeted sample is where a ""sample"" of the subject matter, be that people, plants/animals etc is selected using certain criteria, i.e. pregnant mothers between the ages of 25-30. Targeted samples are usually used by businesses or companies carrying out surveys on a particular group of people.",NA,NA,NA,NA
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-BRI210111-4905052-0112-4-C,Sample-Routine,WATER,NA,1/12/2021,9:50:00,MST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,302,Division of Water Quality,UTAHDWQ_WQX-4905052,NA,NA,NA,NA,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,Miscellaneous (Other),NA,NITROGEN,DISSOLVED,1.83,1.83,Numeric,MG/L,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D8083-16,ASTM,"Standard Test Method for Total Nitrogen, and Total Kjeldahl Nitrogen (TKN) by Calculation, in Water by High Temperature",NA,Utah DOH Division of Epidemilogy and Laboratory Services,1/19/2021,NA,Lower Reporting Limit,0.2,0.2,Numeric,MG/L,NA,STORET,1/12/2021 16:50,NA,Swift Slough ab Logan Lagoons 002 outfall,River/Stream,NA,16010203,NA,NA,NA,NA,41.77142,-111.91106,NA,NA,NA,GPS-Unspecified,NAD83,NA,NA,NA,NA,NA,NA,US,49,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,AS N,Targeted,"This will cover many monitoring events including any routine monitoring with the purpose of identifying stressors or causes of impairment such as the basin intensives, TMDL studies.","Targeted - A targeted sample is where a ""sample"" of the subject matter, be that people, plants/animals etc is selected using certain criteria, i.e. pregnant mothers between the ages of 25-30. Targeted samples are usually used by businesses or companies carrying out surveys on a particular group of people.",NA,NA,NA,NA
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-LAKES210614-4930007-0615-4-C,Quality Control Sample-Equipment Blank,WATER,NA,6/15/2021,16:40:00,MST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,302,Division of Water Quality,UTAHDWQ_WQX-4930007,NA,NA,NA,NA,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,Miscellaneous (Other),Not Detected,NITROGEN,DISSOLVED,NA,NA,ND or NA,MG/L,U,Accepted,NA,Actual,NA,NA,NA,NA,NA,Not detected/reported,NA,NA,NA,NA,NA,NA,D8083-16,ASTM,"Standard Test Method for Total Nitrogen, and Total Kjeldahl Nitrogen (TKN) by Calculation, in Water by High Temperature",NA,Utah DOH Division of Epidemilogy and Laboratory Services,7/1/2021,NA,Lower Reporting Limit,0.2,0.2,Numeric,MG/L,NA,STORET,6/15/2021 23:40,NA,Clean Lakes equipment blank Kemmerer,Lake,Equipment Blank,16020204,NA,NA,NA,NA,40.77413,-111.94789,NA,NA,NA,GPS-Unspecified,NAD83,NA,NA,NA,NA,NA,NA,US,49,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,AS N,Targeted,"This will cover many monitoring events including any routine monitoring with the purpose of identifying stressors or causes of impairment such as the basin intensives, TMDL studies.","Targeted - A targeted sample is where a ""sample"" of the subject matter, be that people, plants/animals etc is selected using certain criteria, i.e. pregnant mothers between the ages of 25-30. Targeted samples are usually used by businesses or companies carrying out surveys on a particular group of people.",NA,NA,NA,NA
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-UTLK210216-4910009-0216-4-C,Quality Control Sample-Field Blank,WATER,NA,2/16/2021,17:00:00,MST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,302,Division of Water Quality,UTAHDWQ_WQX-4910009,NA,NA,NA,NA,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,Miscellaneous (Other),NA,NITROGEN,DISSOLVED,0.171,0.171,Numeric,MG/L,J,Accepted,NA,Actual,NA,NA,NA,NA,NA,Estimated: The analyte was positively identified and the associated numerical value is the approximate concentration of the analyte in the sample.,NA,NA,NA,NA,NA,NA,D8083-16,ASTM,"Standard Test Method for Total Nitrogen, and Total Kjeldahl Nitrogen (TKN) by Calculation, in Water by High Temperature",NA,Utah DOH Division of Epidemilogy and Laboratory Services,3/1/2021,NA,Lower Reporting Limit,0.2,0.2,Numeric,MG/L,NA,STORET,2/17/2021 0:00,NA,EQUIPMENT BLANK-Utah Lake,Lake,Equipment Blank,16020204,NA,NA,NA,NA,40.77413,-111.94789,NA,NA,NA,GPS-Unspecified,NAD83,NA,NA,NA,NA,NA,NA,US,49,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,AS N,Targeted,"This will cover many monitoring events including any routine monitoring with the purpose of identifying stressors or causes of impairment such as the basin intensives, TMDL studies.","Targeted - A targeted sample is where a ""sample"" of the subject matter, be that people, plants/animals etc is selected using certain criteria, i.e. pregnant mothers between the ages of 25-30. Targeted samples are usually used by businesses or companies carrying out surveys on a particular group of people.",NA,NA,NA,NA
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-BRI210308-4908165-0308-4-C,Sample-Routine,WATER,NA,3/8/2021,12:40:00,MST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,302,Division of Water Quality,UTAHDWQ_WQX-4908165,NA,NA,NA,NA,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,Miscellaneous (Other),NA,NITROGEN,DISSOLVED,0.365,0.365,Numeric,MG/L,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D8083-16,ASTM,"Standard Test Method for Total Nitrogen, and Total Kjeldahl Nitrogen (TKN) by Calculation, in Water by High Temperature",NA,Utah DOH Division of Epidemilogy and Laboratory Services,3/23/2021,NA,Lower Reporting Limit,0.2,0.2,Numeric,MG/L,NA,STORET,3/8/2021 19:40,NA,Otter Creek at road xing BL confluence with South Branch,River/Stream,NA,16010101,NA,NA,NA,NA,41.70987,-111.18896,NA,NA,NA,GPS-Unspecified,NAD83,NA,NA,NA,NA,NA,NA,US,49,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,AS N,Targeted,"This will cover many monitoring events including any routine monitoring with the purpose of identifying stressors or causes of impairment such as the basin intensives, TMDL studies.","Targeted - A targeted sample is where a ""sample"" of the subject matter, be that people, plants/animals etc is selected using certain criteria, i.e. pregnant mothers between the ages of 25-30. Targeted samples are usually used by businesses or companies carrying out surveys on a particular group of people.",NA,NA,NA,NA
UTAHDWQ_WQX,Utah Department Of Environmental Quality,UTAHDWQ_WQX-BRI210111-4902900-0111-4-C,Sample-Routine,WATER,NA,1/11/2021,13:45:00,MST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,302,Division of Water Quality,UTAHDWQ_WQX-4902900,NA,NA,NA,NA,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,Miscellaneous (Other),NA,NITROGEN,DISSOLVED,0.718,0.718,Numeric,MG/L,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D8083-16,ASTM,"Standard Test Method for Total Nitrogen, and Total Kjeldahl Nitrogen (TKN) by Calculation, in Water by High Temperature",NA,Utah DOH Division of Epidemilogy and Laboratory Services,1/19/2021,NA,Lower Reporting Limit,0.2,0.2,Numeric,MG/L,NA,STORET,1/11/2021 20:45,NA,Malad River S of Plymouth at SR13/U191 xing (UT09ST-157),River/Stream,NA,16010204,NA,NA,NA,NA,41.83842,-112.14737,NA,NA,NA,GPS-Unspecified,NAD83,NA,NA,NA,NA,NA,NA,US,49,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,AS N,Targeted,"This will cover many monitoring events including any routine monitoring with the purpose of identifying stressors or causes of impairment such as the basin intensives, TMDL studies.","Targeted - A targeted sample is where a ""sample"" of the subject matter, be that people, plants/animals etc is selected using certain criteria, i.e. pregnant mothers between the ages of 25-30. Targeted samples are usually used by businesses or companies carrying out surveys on a particular group of people.",NA,NA,NA,NA
